Date,Seoul
20200519,12
20200520,12
20200521,24
20200522,52
20200523,52
20200524,28
20200525,44
20200526,47
20200527,22
20200528,28
20200529,34
20200530,38
20200531,38
20200601,24
20200602,27
20200603,54
20200604,61
20200605,46
20200606,52
20200607,44
20200608,41
20200609,49
20200610,48
20200611,30
20200612,47
20200613,53
20200614,41
20200615,33
20200616,57
20200617,53
20200618,40
20200619,28
20200620,41
20200621,38
20200622,42
20200623,46
20200624,36
20200625,20
20200626,28
20200627,28
20200628,35
20200629,42
20200630,9
20200701,22
20200702,52
20200703,38
20200704,23
20200705,31
20200706,28
20200707,22
20200708,36
20200709,38
20200710,30
20200711,8
20200712,14
20200713,8
20200714,7
20200715,12
20200716,28
20200717,38
20200718,35
20200719,16
20200720,14
20200721,34
20200722,24
20200723,14
20200724,6
20200725,5
20200726,10
20200727,14
20200728,13
20200729,12
20200730,19
20200731,23
20200801,14
20200802,11
20200803,13
20200804,36
20200805,33
20200806,17
20200807,37
20200808,14
20200809,10
20200810,13
20200811,11
20200812,25
20200813,28
20200814,32
20200815,36
20200816,23
20200817,29
20200818,33
20200819,44
20200820,39
20200821,30
20200822,14
20200823,10
20200824,26
20200825,27
20200826,19
20200827,17
20200828,23
20200829,15
20200830,14
20200831,10
20200901,16
20200902,14
20200903,13
20200904,20
20200905,30
20200906,21
20200907,6
20200908,26
20200909,28
20200910,26
20200911,24
20200912,9
20200913,7
20200914,26
20200915,40
20200916,25
20200917,22
20200918,22
20200919,19
20200920,18
20200921,24
20200922,14
20200923,9
20200924,10
20200925,13
20200926,14
20200927,14
20200928,23
20200929,36
20200930,31
20201001,16
20201002,30
20201003,46
20201004,31
20201005,28
20201006,27
20201007,28
20201008,17
20201009,18
20201010,21
20201011,30
20201012,44
20201013,30
20201014,40
20201015,35
20201016,46
20201017,42
20201018,38
20201019,89
20201020,92
20201021,47
20201022,80
20201023,31
20201024,33
20201025,39
20201026,63
20201027,94
20201028,57
20201029,42
20201030,51
20201031,32
20201101,58
20201102,54
20201103,25
20201104,36
20201105,46
20201106,57
20201107,96
20201108,64
20201109,32
20201110,32
20201111,54
20201112,76
20201113,92
20201114,90
20201115,93
20201116,88
20201117,76
20201118,44
20201119,18
20201120,28
20201121,37
20201122,43
20201123,34
20201124,34
20201125,50
20201126,74
20201127,54
20201128,26
20201129,32
20201130,37
20201201,38
20201202,39
20201203,33
20201204,38
20201205,48
20201206,61
20201207,66
20201208,30
20201209,48
20201210,86
20201211,83
20201212,62
20201213,45
20201214,27
20201215,22
20201216,26
20201217,32
20201218,42
20201219,32
20201220,31
20201221,49
20201222,64
20201223,83
20201224,68
20201225,30
20201226,62
20201227,73
20201228,76
20201229,79
20201230,42
20201231,32
20210101,32
20210102,39
20210103,44
20210104,46
20210105,34
20210106,28
20210107,44
20210108,23
20210109,30
20210110,41
20210111,54
20210112,72
20210113,112
20210114,83
20210115,86
20210116,52
20210117,22
20210118,42
20210119,38
20210120,52
20210121,62
20210122,53
20210123,9
20210124,15
20210125,28
20210126,56
20210127,45
20210128,44
20210129,28
20210130,59
20210131,64
20210201,76
20210202,36
20210203,40
20210204,30
20210205,34
20210206,81
20210207,92
20210208,32
20210209,28
20210210,46
20210211,84
20210212,98
20210213,97
20210214,94
20210215,64
20210216,30
20210217,54
20210218,51
20210219,58
20210220,82
20210221,88
20210222,63
20210223,60
20210224,60
20210225,65
20210226,42
20210227,20
20210228,28
20210301,16
20210302,14
20210303,50
20210304,58
20210305,50
20210306,36
20210307,30
20210308,51
20210309,56
20210310,103
20210311,126
20210312,74
20210313,64
20210314,92
20210315,100
20210316,102
20210317,100
20210318,106
20210319,76
20210320,38
20210321,52
20210322,45
20210323,90
20210324,74
20210325,77
20210326,124
20210327,82
20210328,19
20210329,298
20210330,148
20210331,49
20210401,48
20210402,52
20210403,42
20210404,10
20210405,26
20210406,49
20210407,64
20210408,39
20210409,38
20210410,40
20210411,53
20210412,50
20210413,20
20210414,39
20210415,61
20210416,82
20210417,89
20210418,42
20210419,57
20210420,67
20210421,75
20210422,74
20210423,42
20210424,24
20210425,26
20210426,30
20210427,34
20210428,58
20210429,61
20210430,38
20210501,30
20210502,18
20210503,39
20210504,33
20210505,40
20210506,62
20210507,302
20210508,393
20210509,50
20210510,23
20210511,22
20210512,24
20210513,46
20210514,57
20210515,56
20210516,10
20210517,14
20210518,35
20210519,38
20210520,26
20210521,18
20210522,34
20210523,45
20210524,100
20210525,85
20210526,47
20210527,48
20210528,45
20210529,21
20210530,27
20210531,38
20210601,46
20210602,58
20210603,40
20210604,31
20210605,52
20210606,66
20210607,42
20210608,51
20210609,44
20210610,56
20210611,25
20210612,28
20210613,34
20210614,48
20210615,33
20210616,14
20210617,22
20210618,24
20210619,56
20210620,57
20210621,50
20210622,28
20210623,20
20210624,36
20210625,47
20210626,26
20210627,22
20210628,22
20210629,32
20210630,46
